bird_name,item_taxon,diet_percentage
Canvasback,Arthropoda [arthropods],8.131333333333334
Canvasback,Mollusca [molluscs],24.12133333333333
Canvasback,Tracheophyta [vascular plants],61.99533333333332
Canvasback,Unid. Animalia,5.566666666666666
Redhead,Arthropoda [arthropods],16.775333333333336
Redhead,Charophyta [charophyte algae],8.148
Redhead,Mollusca [molluscs],1.1186666666666667
Redhead,Tracheophyta [vascular plants],67.22399999999999
Redhead,Unid. Animalia,5.566666666666666
Ring-necked Duck,Annelida [annelids],2.245
Ring-necked Duck,Arthropoda [arthropods],14.978333333333332
Ring-necked Duck,Charophyta [charophyte algae],3.355
Ring-necked Duck,Mollusca [molluscs],6.985833333333333
Ring-necked Duck,Tracheophyta [vascular plants],70.15916666666668
Ring-necked Duck,Unid. Animalia,10.6075
Greater Scaup,Arthropoda [arthropods],2.9200000000000004
Greater Scaup,Charophyta [charophyte algae],1.7292857142857143
Greater Scaup,Chlorophyta [green algae],3.085714285714286
Greater Scaup,Mollusca [molluscs],40.09071428571429
Greater Scaup,Tracheophyta [vascular plants],29.78928571428571
Greater Scaup,Unid. Animalia,17.57857142857143
Greater Scaup,Unid. Plantae,4.508571428571428
Lesser Scaup,Annelida [annelids],1.9909090909090912
Lesser Scaup,Arthropoda [arthropods],35.795454545454554
Lesser Scaup,Chordata [chordates],1.2363636363636366
Lesser Scaup,Mollusca [molluscs],15.041818181818185
Lesser Scaup,Tracheophyta [vascular plants],30.629090909090905
Lesser Scaup,Unid. Animalia,14.909090909090908
Harlequin Duck,Arthropoda [arthropods],21.382857142857144
Harlequin Duck,Chlorophyta [green algae],5.6571428571428575
Harlequin Duck,Chordata [chordates],13.497142857142858
Harlequin Duck,Echinodermata [echinoderms],1.6414285714285717
Harlequin Duck,Mollusca [molluscs],48.40714285714285
Harlequin Duck,Unid. Animalia,5.171428571428571
Harlequin Duck,Unid. Non-biological,3.128571428571429
Surf Scoter,Arthropoda [arthropods],4.201111111111111
Surf Scoter,Chordata [chordates],1.8966666666666667
Surf Scoter,Mollusca [molluscs],43.97222222222221
Surf Scoter,Tracheophyta [vascular plants],8.388888888888888
Surf Scoter,Unid. Animalia,41.336666666666666
White-winged Scoter,Arthropoda [arthropods],27.828750000000003
White-winged Scoter,Mollusca [molluscs],19.935
White-winged Scoter,Tracheophyta [vascular plants],5.47
White-winged Scoter,Unid. Animalia,46.55125
Black Scoter,Tracheophyta [vascular plants],6
Black Scoter,Unid. Animalia,94
Long-tailed Duck,Arthropoda [arthropods],52.68625
Long-tailed Duck,Chordata [chordates],3.875000000000001
Long-tailed Duck,Mollusca [molluscs],30.9375
Long-tailed Duck,Unid. Animalia,12.5
Bufflehead,Arthropoda [arthropods],37.322307692307696
Bufflehead,Chordata [chordates],2.620769230769231
Bufflehead,Mollusca [molluscs],15.439230769230772
Bufflehead,Tracheophyta [vascular plants],18.114615384615384
Bufflehead,Unid. Animalia,26.502307692307696
Common Goldeneye,Arthropoda [arthropods],42.662666666666674
Common Goldeneye,Chordata [chordates],12.202666666666666
Common Goldeneye,Mollusca [molluscs],8.062666666666667
Common Goldeneye,Tracheophyta [vascular plants],14.538000000000002
Common Goldeneye,Unid. Animalia,22.532666666666668
Barrow's Goldeneye,Arthropoda [arthropods],53.46347826086956
Barrow's Goldeneye,Chordata [chordates],5.913043478260869
Barrow's Goldeneye,Mollusca [molluscs],9.345217391304343
Barrow's Goldeneye,Tracheophyta [vascular plants],14.843478260869569
Barrow's Goldeneye,Unid. Animalia,15.252173913043482
Barrow's Goldeneye,Unid. Plantae,1.1917391304347826
Hooded Merganser,Arthropoda [arthropods],11.45
Hooded Merganser,Chordata [chordates],87.554
Common Merganser,Arthropoda [arthropods],1.5316666666666665
Common Merganser,Chordata [chordates],98.46999999999998
Red-breasted Merganser,Chordata [chordates],99.95
Ruddy Duck,Annelida [annelids],2.1818181818181817
Ruddy Duck,Arthropoda [arthropods],50.84545454545455
Ruddy Duck,Tracheophyta [vascular plants],31.627272727272725
Ruddy Duck,Unid. Animalia,14.8
Ring-necked Pheasant,Arthropoda [arthropods],3.156229454545455
Ring-necked Pheasant,Mollusca [molluscs],1.072151515151515
Ring-necked Pheasant,Tracheophyta [vascular plants],94.42734627272723
Ring-necked Pheasant,Unid. Animalia,1.377212121212121
Ruffed Grouse,Tracheophyta [vascular plants],90.05404761904761
Ruffed Grouse,Unid. Unknown,1.3619047619047615
Wild Turkey,Arthropoda [arthropods],1.943125
Wild Turkey,Tracheophyta [vascular plants],91.004375
Wild Turkey,Unid. Animalia,6.87284375
Mountain Quail,Tracheophyta [vascular plants],94.808
Mountain Quail,Unid. Animalia,3.6000000000000005
California Quail,Arthropoda [arthropods],3.702675437037037
California Quail,Tracheophyta [vascular plants],85.94221344814814
California Quail,Unid. Non-biological,9.22777777777778
Red-throated Loon,Chordata [chordates],100
Pied-billed Grebe,Arthropoda [arthropods],50
Pied-billed Grebe,Chordata [chordates],49.99999999999999
Horned Grebe,Annelida [annelids],2.51
Horned Grebe,Arthropoda [arthropods],67.79499999999999
Horned Grebe,Chordata [chordates],27.279999999999998
Horned Grebe,Unid. Unknown,1.0699999999999998
Red-necked Grebe,Arthropoda [arthropods],28.110000000000003
Red-necked Grebe,Chordata [chordates],71.56142857142858
Eared Grebe,Arthropoda [arthropods],98.15
Eared Grebe,Tracheophyta [vascular plants],1.2
Western Grebe,Arthropoda [arthropods],11.000000000000002
Western Grebe,Chordata [chordates],81.5
Western Grebe,Mollusca [molluscs],1
Western Grebe,Nematoda [nematodes],3
Western Grebe,Tracheophyta [vascular plants],4
Western Grebe,Unid. Non-biological,6
Brown Pelican,Chordata [chordates],99.625
Double-crested Cormorant,Arthropoda [arthropods],3.185443786982248
Double-crested Cormorant,Chordata [chordates],94.39999999999996
Double-crested Cormorant,Unid. Animalia,2.2958579881656807
Pelagic Cormorant,Arthropoda [arthropods],9.7
Pelagic Cormorant,Chordata [chordates],90.3
Great Blue Heron,Arthropoda [arthropods],32.5
Great Blue Heron,Chordata [chordates],65.25
Great Blue Heron,Mollusca [molluscs],1.37
Great Egret,Arthropoda [arthropods],21.98333333333333
Great Egret,Chordata [chordates],75.11666666666666
Great Egret,Unid. Animalia,1.7666666666666668
Green Heron,Arthropoda [arthropods],85.53
Green Heron,Chordata [chordates],11.28
Green Heron,Unid. Animalia,2.37
Turkey Vulture,Arthropoda [arthropods],2.154992714285714
Turkey Vulture,Chordata [chordates],94.89526234285717
Turkey Vulture,Tracheophyta [vascular plants],1.261904757142857
Turkey Vulture,Unid. Animalia,1.1095238142857142
Osprey,Chordata [chordates],99.82222221111113
White-tailed Kite,Chordata [chordates],99.5
Bald Eagle,Chordata [chordates],98.79369682702703
Northern Harrier,Arthropoda [arthropods],5.251515181818182
Northern Harrier,Chordata [chordates],92.73259153636364
Northern Harrier,Unid. Animalia,1.9522563727272728
Sharp-shinned Hawk,Chordata [chordates],93.72777761666669
Sharp-shinned Hawk,Unid. Animalia,6.25555555
Cooper's Hawk,Chordata [chordates],97.81518947826088
Cooper's Hawk,Unid. Animalia,2.019538378260869
Northern Goshawk,Chordata [chordates],99.20320005
Red-tailed Hawk,Chordata [chordates],97.34572894545455
Red-tailed Hawk,Unid. Animalia,1.9730463393939397
Rough-legged Hawk,Chordata [chordates],95.48763046666664
Rough-legged Hawk,Unid. Animalia,4.267724866666666
Golden Eagle,Chordata [chordates],100.4516756478261
American Kestrel,Arthropoda [arthropods],6.030889893333335
American Kestrel,Chordata [chordates],91.78340705333332
American Kestrel,Unid. Animalia,2.32595652
Merlin,Chordata [chordates],91.76665893333332
Merlin,Unid. Animalia,8.233333333333333
Gyrfalcon,Chordata [chordates],99.999996
