bird_name,item_taxon,diet_percentage
Snow Goose,Equisetales [horsetails],3.692727272727273
Snow Goose,"Fabales [legumes, milkworts, and allies]",3.4663636363636368
Snow Goose,"Poales [grasses, sedges, and allies]",69.93636363636364
Snow Goose,Unid. Magnoliopsida,1.253636363636364
Snow Goose,Unid. Tracheophyta,16.189090909090908
Brant,Alismatales [water plantains and allies],21.118333333333336
Brant,"Asterales [asters, bellflowers, fanflowers, and allies]",1.215
Brant,"Poales [grasses, sedges, and allies]",2.428333333333333
Brant,Ulvales [sea lettuces and allies],16.666666666666668
Brant,Unid. Chlorophyta,41.905
Brant,Unid. Tracheophyta,16.666666666666668
Canada Goose,"Fabales [legumes, milkworts, and allies]",7.924545454545453
Canada Goose,"Poales [grasses, sedges, and allies]",58.64727272727273
Canada Goose,Unid. Tracheophyta,29.935454545454544
Trumpeter Swan,Dicranales,15
Trumpeter Swan,Hypnales,17
Trumpeter Swan,"Ranunculales [buttercups, poppies, and allies]",65.5
Tundra Swan,Alismatales [water plantains and allies],22
Tundra Swan,Nostocales,23.200000000000003
Tundra Swan,"Poales [grasses, sedges, and allies]",37.9
Tundra Swan,Unid. Arthropoda,1.3
Tundra Swan,Unid. Tracheophyta,15.6
Wood Duck,Alismatales [water plantains and allies],4.225
Wood Duck,"Caryophyllales [pinks, cactuses, and allies]",3.031
Wood Duck,Coleoptera [beetles],2.373
Wood Duck,Commelinales [spiderworts and allies],3.644
Wood Duck,"Fagales [beeches, oaks, walnuts, and allies]",2.137
Wood Duck,Lepidoptera larva [caterpillars],2.2030000000000003
Wood Duck,"Nymphaeales [water-lilies, fanworts, and allies]",4.084999999999999
Wood Duck,"Poales [grasses, sedges, and allies]",14.741
Wood Duck,"Rosales [roses, elms, figs, and allies]",4.175
Wood Duck,"Sapindales [soapberries, cashews, mahoganies, and allies]",2.228
Wood Duck,Unid. Animalia,9.333000000000002
Wood Duck,Unid. Magnoliopsida,5.754
Wood Duck,Unid. Tracheophyta,34.7
Gadwall,Alismatales [water plantains and allies],12.30625
Gadwall,Anostraca [fairy shrimp],2.16
Gadwall,Commelinales [spiderworts and allies],2.8075
Gadwall,Diptera [flies],1.4562499999999998
Gadwall,"Poales [grasses, sedges, and allies]",9.9775
Gadwall,"Saxifragales [saxifrages, stonecrops, and allies]",1.28625
Gadwall,Unid. Animalia,4.032500000000001
Gadwall,Unid. Chlorophyceae,3.15875
Gadwall,Unid. Magnoliopsida,7.050000000000001
Gadwall,Unid. Plantae,4
Gadwall,Unid. Tracheophyta,46.6125
Eurasian Wigeon,Alismatales [water plantains and allies],24.000000000000004
Eurasian Wigeon,Charales,1.2133333333333334
Eurasian Wigeon,"Poales [grasses, sedges, and allies]",4.8533333333333335
Eurasian Wigeon,"Ranunculales [buttercups, poppies, and allies]",3.8
