name,birdweb_society_link,ecoregion,jan_abundance,feb_abundance,mar_abundance,apr_abundance,may_abundance,jun_abundance,jul_abundance,aug_abundance,sep_abundance,oct_abundance,nov_abundance,dec_abundance
Marbled Godwit,http://becomewww.birdweb.org/BIRDWEB/bird/marbled_godwit,pacific_northwest_coast,C,C,C,C,U,R,U,C,C,C,C,C
Ruddy Turnstone,http://becomewww.birdweb.org/BIRDWEB/bird/ruddy_turnstone,pacific_northwest_coast,R,R,U,U,F,,U,U,U,R,R,R
Black Turnstone,http://becomewww.birdweb.org/BIRDWEB/bird/black_turnstone,pacific_northwest_coast,C,C,C,C,U,,U,C,C,C,C,C
Surfbird,http://becomewww.birdweb.org/BIRDWEB/bird/surfbird,pacific_northwest_coast,C,C,C,C,R,,U,C,C,C,C,C
Red Knot,http://becomewww.birdweb.org/BIRDWEB/bird/red_knot,pacific_northwest_coast,R,R,R,F,C,R,U,F,F,U,R,R
Sanderling,http://becomewww.birdweb.org/BIRDWEB/bird/sanderling,pacific_northwest_coast,C,C,C,C,C,U,F,C,C,C,C,C
Semipalmated Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/semipalmated_sandpiper,pacific_northwest_coast,,,,,,,R,R,R,,,
Western Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/western_sandpiper,pacific_northwest_coast,U,U,U,C,C,U,F,C,C,F,U,U
Least Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/least_sandpiper,pacific_northwest_coast,U,U,U,C,C,,C,C,C,F,U,U
Baird's Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/bairds_sandpiper,pacific_northwest_coast,,,,,,,R,U,U,R,,
Pectoral Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/pectoral_sandpiper,pacific_northwest_coast,,,,,R,,R,R,F,F,R,
Sharp-tailed Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/sharp-tailed_sandpiper,pacific_northwest_coast,,,,,,,,,R,R,R,
Rock Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/rock_sandpiper,pacific_northwest_coast,U,U,U,U,R,,,,,U,U,U
Dunlin,http://becomewww.birdweb.org/BIRDWEB/bird/dunlin,pacific_northwest_coast,C,C,C,C,C,R,R,R,U,C,C,C
Stilt Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/stilt_sandpiper,pacific_northwest_coast,,,,,,,,R,R,,,
Buff-breasted Sandpiper,http://becomewww.birdweb.org/BIRDWEB/bird/buff-breasted_sandpiper,pacific_northwest_coast,,,,,,,,R,R,,,
Ruff,http://becomewww.birdweb.org/BIRDWEB/bird/ruff,pacific_northwest_coast,,,,,,,,R,R,R,,
Short-billed Dowitcher,http://becomewww.birdweb.org/BIRDWEB/bird/short-billed_dowitcher,pacific_northwest_coast,,,,C,C,R,C,C,C,U,,
Long-billed Dowitcher,http://becomewww.birdweb.org/BIRDWEB/bird/long-billed_dowitcher,pacific_northwest_coast,U,U,U,F,F,,U,F,F,F,U,U
Wilson's Snipe,http://becomewww.birdweb.org/BIRDWEB/bird/wilsons_snipe,pacific_northwest_coast,U,U,U,F,F,U,U,F,F,F,U,U
Red-necked Phalarope,http://becomewww.birdweb.org/BIRDWEB/bird/red-necked_phalarope,pacific_northwest_coast,,,,U,F,R,U,F,F,,,
Red Phalarope,http://becomewww.birdweb.org/BIRDWEB/bird/red_phalarope,pacific_northwest_coast,R,R,R,U,U,R,R,U,U,U,R,R
Franklin's Gull,http://becomewww.birdweb.org/BIRDWEB/bird/franklins_gull,pacific_northwest_coast,,,,,,,,R,R,,,
Bonaparte's Gull,http://becomewww.birdweb.org/BIRDWEB/bird/bonapartes_gull,pacific_northwest_coast,,,,F,F,,R,U,U,U,U,
Heermann's Gull,http://becomewww.birdweb.org/BIRDWEB/bird/heermanns_gull,pacific_northwest_coast,,,,,R,U,C,C,C,F,R,
Short-billed Gull,http://becomewww.birdweb.org/BIRDWEB/bird/short-billed_gull,pacific_northwest_coast,C,C,C,C,U,,,U,C,C,C,C
Ring-billed Gull,http://becomewww.birdweb.org/BIRDWEB/bird/ring-billed_gull,pacific_northwest_coast,U,U,U,F,U,U,U,C,C,U,U,U
California Gull,http://becomewww.birdweb.org/BIRDWEB/bird/california_gull,pacific_northwest_coast,R,R,R,F,F,U,C,C,C,C,R,R
Herring Gull,http://becomewww.birdweb.org/BIRDWEB/bird/herring_gull,pacific_northwest_coast,U,U,C,U,U,,,R,U,U,U,U
Thayer's Gull,http://becomewww.birdweb.org/BIRDWEB/bird/thayers_gull,pacific_northwest_coast,U,U,U,U,,,,,R,U,U,U
Western Gull,http://becomewww.birdweb.org/BIRDWEB/bird/western_gull,pacific_northwest_coast,C,C,C,C,C,C,C,C,C,C,C,C
